"Folder","Expected","Have","Missing","FirstMissing"
"Từ Arknights Bắt Đầu Xây Dựng Thế Lực","231","218","13","16,17,27,35,37,38,83,117,138,157,179,197,198"
"Học Đường Rực Cháy","125","112","13","40,64,65,66,67,73,74,81,82,83,84,85,86"
"Tam Quốc Từ Giao Châu Bắt Đầu","289","283","6","239,249,250,255,270,272"
"Thiên Hành","42","36","6","1,2,3,4,5,6"
"Cửu Đế","57","52","5","13,14,15,16,17"
"Bất Diệt Kinh","211","207","4","4,21,160,161"
"Hồi Kí Hadidu","81","77","4","19,20,59,76"
"Đại Việt Quỷ Vương","357","354","3","276,334,346"
"Ta Phát Hiện Thế Giới Bug","69","66","3","39,40,41"
"Long Cơ Chiến Hồn","751","749","2","327,623"
"Muốn Trường Sinh Trước Hết Phải Đồng Vợ Đồng Chồng","346","344","2","232,233"
"Lan Khuấy Đảo Cổ Sử","133","131","2","19,20"
"Hắn Chỉ Là Chơi Đùa Không Phải Viết Lên Thần Thoại","69","67","2","35,36"
"Tả Đạo Tiên Chủ","48","46","2","13,14"
"Quang Minh Bất Diệt Tín Ngưỡng Vĩnh Hằng","915","914","1","372"
"Tây Sơn Hành Trình Vượt Thời Gian","597","596","1","441"
"Đế Quốc Nhật Bản","405","404","1","147"
"Lê Dung","271","270","1","82"
"Xuyên Mộng Giả","258","257","1","66"
"Xuyên Thành Liếm Cẩu Nam Phụ Ta Một Cước Đạp Vỡ Thiên Mệnh","184","183","1","115"
"Đấu La Võ Hồn La Tam Pháo Hextech Năm Tuyển Ba","93","92","1","34"
"Bắt Đầu Triệu Hoán Ba Ngàn Đại Đế Dọa Mộng Cửu Thiên Thập Địa","91","90","1","16"
"Từ Hoàn Mỹ Bắt Đầu Bảo Hồ Lô Thông Thiên","90","90","1","77"
"Khoa Học Kiểu Conan Sōsōnin","89","88","1","29"
"Hướng Quỷ Hứa Hẹn","89","88","1","73"
"Sáng Thế Phá Kiếp","81","80","1","66"
"Siêu Nhân Diệt Tuyệt Chỉ Nam","76","75","1","46"
"Tu Tiên Ta Không Phải Quyển Chỉ Là Chăm Chỉ Một Chút Xíu","75","74","1","49"
"Ta Siêu Thị Máy Tính Gian Thương Khách Hàng Quỳ Cầu Đừng Đóng Cửa","71","70","1","1"
"Cầm Kiếm Độc Hành Chém Quỷ Thần","71","70","1","70"
"Thân Là Dũng Giả Ta Bị Lừa Thảm","58","57","1","32"
"Ngự Thần Lục","47","46","1","44"
"Tara Tiểu Thế Giới Chư Thiên Kỳ Diệu Mạo Hiểm","35","34","1","17"
"Bạch Nguyệt Vân Thiên","31","30","1","19"
"Quán Net Âm Dương","30","29","1","8"
"Trò Chơi Này Không Thích Hợp Ta Đào Quáng Thành Thần","26","25","1","14"
