id,skip_count,name,status_name,chapter_count
153594,8,The Noexistencen Of You And Me: Nếu Ta Có Ngươi,Hoàn thành,37
100401,7,Đại Chúa Tể Tiền Truyện,Hoàn thành,52
100450,7,Ta Thật Chỉ Là Muốn Tìm Chết,Hoàn thành,112
100475,7,Vạn Giới Ra Mắt Hệ Thống,Hoàn thành,57
100480,7,Tỳ Nhan,Hoàn thành,27
100484,7,Vạn Năng Cố Vấn,Hoàn thành,84
100486,7,Hệ Thống Cung Hóa Thương,Hoàn thành,84
100495,7,Ta Đoạt Quỷ Vương Nữ Nhân,Hoàn thành,112
100693,7,Hàng Long Giác Tỉnh,Hoàn thành,97
100807,7,Nhất Niệm Sâm La,Hoàn thành,108
100970,7,Lục Tích Chi Đại Hoang Tế,Hoàn thành,75
101066,7,Lục Tích Chi Mộng Yểm Cung,Hoàn thành,80
101072,7,Nguyện Vọng Thiên Thư,Hoàn thành,89
101091,7,Toàn Chức Y Thánh,Hoàn thành,119
101133,7,Nghịch Phạt Tinh Hà,Hoàn thành,107
101141,7,Tam Giới Thánh Sư,Hoàn thành,29
101157,7,Quỷ Bí Thần Thám,Hoàn thành,120
101255,7,Ta Có Thể Hút Ngươi Tạo Hóa,Hoàn thành,80
101376,7,Nguyên Thế Giới Chi Thiên Diễn,Hoàn thành,88
101393,7,Đấu La Đại Lục Chi Đường Môn Anh Hùng,Hoàn thành,92
101399,7,Toàn Dân Tu Võ,Hoàn thành,45
101419,7,Nỗ Lực Thực Hữu Dụng,Hoàn thành,58
101441,7,Tam Thể,Hoàn thành,38
101445,7,Hắn Đến Từ Địa Ngục,Hoàn thành,110
101632,7,Đô Thị Âm Dương Thiên Sư,Hoàn thành,102
101708,7,Thập Tông Tội 1,Hoàn thành,59
101710,7,Thập Tông Tội 2,Hoàn thành,56
101711,7,Thập Tông Tội 3,Hoàn thành,53
101722,7,Triều Nội 81 Hào,Hoàn thành,60
101836,7,Lão Tử Là Thiên Đế,Hoàn thành,97
100112,6,Lục Nhân Tuệ Tinh,Hoàn thành,375
100115,6,Trọng Sinh Chi Mộng Huyễn Xạ Thủ,Hoàn thành,294
100123,6,Sân Bóng Libero,Hoàn thành,323
100125,6,Vương Triêu Trọng Hiện,Hoàn thành,229
100137,6,Comic Chi Anh Hùng Guyver,Hoàn thành,323
100141,6,Bắt Đầu Từ Hôm Nay Làm Đại Phản Phái,Hoàn thành,329
100179,6,Phá Vỡ Hokage,Hoàn thành,316
100183,6,Pokemon Chi Ta Chính Thê Là Cynthia,Hoàn thành,297
100184,6,Hokage Chi Ma Vương Tiến Hóa Luận,Hoàn thành,341
100186,6,Dragon Ball Chi Hành Trình Về Nhà,Hoàn thành,347
100187,6,Hokage Chi Vũ Thần Hệ Thống,Hoàn thành,360
100188,6,Vô Hạn Hộ Hoa,Hoàn thành,371
100209,6,Hokage Ninja Chi Tenseigan,Hoàn thành,269
100215,6,Võng Du Chi Tiến Hóa,Hoàn thành,362
100216,6,One Piece Chi La Lỵ Dưỡng Thành Hệ Thống,Hoàn thành,316
100218,6,Hokage Chi Gensokyo Đại Đệ Tử,Hoàn thành,364
100232,6,Võng Du Chi Siêu Thần Áo Giáp Đại Sư,Hoàn thành,399
100268,6,Hồng Hoang Chi Hồ Lô Đằng Hệ Thống,Hoàn thành,399
100312,6,Tiểu Long Nữ: Ta Sư Huynh Thật Cứng,Hoàn thành,181
100334,6,Đồng Thuật Trong Thế Giới Marvel,Hoàn thành,325
100337,6,Phần Tịch Tinh Không,Hoàn thành,342
100340,6,Siêu Thứ Nguyên Trừu Tưởng,Hoàn thành,311
100346,6,Vạn Giới Trực Bá Chi Quân Lâm Thiên Hạ,Hoàn thành,302
100348,6,Trọng Sinh Chi Boxing Sát Thủ,Hoàn thành,388
100357,6,Cổ Kiếm Đồ Ma Lục,Hoàn thành,138
100428,6,Thần Lan Kỳ Vực Vô Song Châu,Hoàn thành,167
100433,6,Bắt Đầu Trăm Vạn Linh Thạch,Hoàn thành,308
100445,6,Học Tỷ Của Ta Biết Ma Pháp,Hoàn thành,278
100446,6,Tạo Hóa Đồ,Hoàn thành,285
100447,6,Vân Thiên Đế,Hoàn thành,277
100448,6,Sử Thượng Đệ Nhất Mật Thám,Hoàn thành,382
100455,6,Cựu Nhật Chúa Tể,Hoàn thành,382
100462,6,Tiên Môn Oai Đạo,Hoàn thành,253
100467,6,Âm Ti Thăng Chức,Hoàn thành,300
100477,6,Binh Vương Chi Siêu Cấp Thấu Thị,Hoàn thành,334
100482,6,Muội Muội Ta Là Thiếu Tư Mệnh,Hoàn thành,125
100485,6,Tam Quốc Chi Ưu Hóa Hệ Thống,Hoàn thành,265
100487,6,Dị Thế Mạnh Nhất Chiến Tiên Hệ Thống,Hoàn thành,315
100489,6,Xuyên Việt Chi Vạn Năng Giả,Hoàn thành,272
100491,6,Vạn Năng Liên Tiếp Khí,Hoàn thành,147
100493,6,Hắc Khoa Kỹ Cung Ứng Thương,Hoàn thành,349
